TABLE_SCHEMA,TABLE_NAME,cols,n_cols
Audits,CignaHospiceAudit03062026_AllClaims,"AuditTotalPaidAmount, PDE_CLAIM_CONTROL_NO, LineKeyID, TapeID, PatientKey, SubscriberKey, GroupKey, DateFilled, RxNumber, NDC, Pharmacy_NCPDPID, Pharmacy_NPI, PharmacyKey, Quantity, FillNumber, NewOrRefill, DaysSupply, CompoundCode, DateWritten, DispenseAsWritten, PrescriptionOriginCode, IngredientCostSubmitted, DispensingFeeSubmitted, IncentiveAmountSubmitted, FlatSalesTaxAmountSubmitted, PercentageSalesTaxAmountSubmitted, ProfessionalServiceFeeSubmitted, OtherAmountClaimedSubmittedQualifier1, OtherAmountClaimedSubmitted1, OtherAmountClaimedSubmittedQualifier2, OtherAmountClaimedSubmitted2, OtherAmountClaimedSubmittedQualifier3, OtherAmountClaimedSubmitted3, UsualAndCustomaryCharge, GrossAmountDue, BasisOfCostDetermination, PatientPayAmount, IngredientCostPaid, DispensingFeePaid, FlatSalesTaxAmountPaid, PercentageSalesTaxAmountPaid, IncentiveAmountPaid, ProfessionalServiceFeePaid, OtherPayerAmountRecognized, TotalAmountPaid, BasisOfReimbursementDetermination, AmountAppliedToPeriodicDeductible, AmountAttributedToCoverageGap, AmountAttributedToProcessorFee, AmountAttributedToProductSelection, AmountAttributedToProductSelectionBrandDrug, AmountAttributedToProductSelectionBrandNonPreferredFormularySelection, AmountAttributedToProductSelectionNonPreferredFormularySelection, AmountAttributedToProviderNetworkSelection, AmountAttributedToSalesTax, AmountExceedingPeriodicBenefitMaximum, AmountOfCopay, AmountOfCoinsurance, PrescriberIdQualifier, PrescriberId, PrescriberKey, LICSLevel, LowIncomeSubsidyAmount, COBOrder, PBMClaimNumber, AdjustmentIndicatorID, ClaimRoot, PartDPolicyType, DateAdjudicated, DatePaid, CheckDate, CheckNumber, LegalEntityKey, ClientKey, PriorAuthorizationNumberSubmitted, ProductServiceIDQualifier, ProductServiceID, PartDPlanBenefitPackage, PartDContractNumber, AdjustmentCounter, AdjustmentSequence, OtherCoverageCode, OtherAmountPaid1, OtherAmountPaidQualifier1, OtherAmountPaid2, OtherAmountPaidQualifier2, OtherAmountPaid3, OtherAmountPaidQualifier3, CompoundDosageFromDescriptionCode, CompoundDispensingUnitFormIndicator, DrugCoverageStatusCode, PharmacyClientCode, Carrier, Account, PatientResidenceCode, ClaimSource, RecordIdentifier, ClaimSequenceNumber, ClaimStatus, LineOfBusiness, BrandTradeName, BrandGenericCode, PreviousClaimNumber, ClaimType, PhyServiceID, AdjustmentReasonCode, ClaimTransactionType, AdjustmentType, ReversalIndicator, ClaimOriginationFlag, OtherPaidAmountColumn, OtherPaidAmountColumn2, ClientID, PrescribedQty, cUnique, cUniqueMax, cUniqueOrder, cSuppress, isDuplicate, origLineKeyID, origTapeID, isAdjusted, isReversal, isAdjustment, adjLineKeyID, adjTapeID, cTapeID, cClaimRoot, cClaimAdjustment, cClaimPreviousInstance, cClaimSequence, cRawlingsICDVersion, cEligibility, cSubscriber, cDateOfService, cEligibilityOrder, cEligibilityOrder_LineKeyID, cEligibilityOrder_TapeID, cEligibilityDemo, cEligibilityDemo_LineKeyID, cEligibilityDemo_TapeID, cSubscriberOrder, cSubscriberOrder_LineKeyID, cSubscriberOrder_TapeID, cSubscriberDemo, cSubscriberDemo_LineKeyID, cSubscriberDemo_TapeID, cPersonUnitID, cPersonUnitKey, dPatientKey, dSubscriberKey, dGroupKey, dClaimKey",153
Audits,CignaHospiceAudit03062026_AllClaims_NoDupes,"DRUG_NDC, DATE_OF_SERVICE, BENEFICIARY_BIRTH_DATE, PDE_CARDHOLDER_ID, TotalPaidAmount, PDE_CLAIM_CONTROL_NO, LineKeyID, TapeID, PatientKey, SubscriberKey, GroupKey, DateFilled, RxNumber, NDC, Pharmacy_NCPDPID, Pharmacy_NPI, PharmacyKey, Quantity, FillNumber, NewOrRefill, DaysSupply, CompoundCode, DateWritten, DispenseAsWritten, PrescriptionOriginCode, IngredientCostSubmitted, DispensingFeeSubmitted, IncentiveAmountSubmitted, FlatSalesTaxAmountSubmitted, PercentageSalesTaxAmountSubmitted, ProfessionalServiceFeeSubmitted, OtherAmountClaimedSubmittedQualifier1, OtherAmountClaimedSubmitted1, OtherAmountClaimedSubmittedQualifier2, OtherAmountClaimedSubmitted2, OtherAmountClaimedSubmittedQualifier3, OtherAmountClaimedSubmitted3, UsualAndCustomaryCharge, GrossAmountDue, BasisOfCostDetermination, PatientPayAmount, IngredientCostPaid, DispensingFeePaid, FlatSalesTaxAmountPaid, PercentageSalesTaxAmountPaid, IncentiveAmountPaid, ProfessionalServiceFeePaid, OtherPayerAmountRecognized, TotalAmountPaid, BasisOfReimbursementDetermination, AmountAppliedToPeriodicDeductible, AmountAttributedToCoverageGap, AmountAttributedToProcessorFee, AmountAttributedToProductSelection, AmountAttributedToProductSelectionBrandDrug, AmountAttributedToProductSelectionBrandNonPreferredFormularySelection, AmountAttributedToProductSelectionNonPreferredFormularySelection, AmountAttributedToProviderNetworkSelection, AmountAttributedToSalesTax, AmountExceedingPeriodicBenefitMaximum, AmountOfCopay, AmountOfCoinsurance, PrescriberIdQualifier, PrescriberId, PrescriberKey, LICSLevel, LowIncomeSubsidyAmount, COBOrder, PBMClaimNumber, AdjustmentIndicatorID, ClaimRoot, PartDPolicyType, DateAdjudicated, DatePaid, CheckDate, CheckNumber, LegalEntityKey, ClientKey, PriorAuthorizationNumberSubmitted, ProductServiceIDQualifier, ProductServiceID, PartDPlanBenefitPackage, PartDContractNumber, AdjustmentCounter, AdjustmentSequence, OtherCoverageCode, OtherAmountPaid1, OtherAmountPaidQualifier1, OtherAmountPaid2, OtherAmountPaidQualifier2, OtherAmountPaid3, OtherAmountPaidQualifier3, CompoundDosageFromDescriptionCode, CompoundDispensingUnitFormIndicator, DrugCoverageStatusCode, PharmacyClientCode, Carrier, Account, PatientResidenceCode, ClaimSource, RecordIdentifier, ClaimSequenceNumber, ClaimStatus, LineOfBusiness, BrandTradeName, BrandGenericCode, PreviousClaimNumber, ClaimType, PhyServiceID, AdjustmentReasonCode, ClaimTransactionType, AdjustmentType, ReversalIndicator, ClaimOriginationFlag, OtherPaidAmountColumn, OtherPaidAmountColumn2, ClientID, PrescribedQty, cUnique, cUniqueMax, cUniqueOrder, cSuppress, isDuplicate, origLineKeyID, origTapeID, isAdjusted, isReversal, isAdjustment, adjLineKeyID, adjTapeID, cTapeID, cClaimRoot, cClaimAdjustment, cClaimPreviousInstance, cClaimSequence, cRawlingsICDVersion, cEligibility, cSubscriber, cDateOfService, cEligibilityOrder, cEligibilityOrder_LineKeyID, cEligibilityOrder_TapeID, cEligibilityDemo, cEligibilityDemo_LineKeyID, cEligibilityDemo_TapeID, cSubscriberOrder, cSubscriberOrder_LineKeyID, cSubscriberOrder_TapeID, cSubscriberDemo, cSubscriberDemo_LineKeyID, cSubscriberDemo_TapeID, cPersonUnitID, cPersonUnitKey, dPatientKey, dSubscriberKey, dGroupKey, dClaimKey, rnk",158
Audits,CignaHospiceAudit03062026_BestChosenLine,"ClaimKey, DateFilled, ClaimRootTotalPatientPaidAmount, ClaimRootTotalAmountPaid, PBMClaimNumber, LineTotalAmountPaid, ClaimLineCount, ClaimRoot, PDE_CLAIM_CONTROL_NO",9
Audits,CignaHospiceAudit03062026_PBMClaimNumberMatches,"LineKeyID, TapeID, PatientKey, SubscriberKey, GroupKey, DateFilled, RxNumber, NDC, Pharmacy_NCPDPID, Pharmacy_NPI, PharmacyKey, Quantity, FillNumber, NewOrRefill, DaysSupply, CompoundCode, DateWritten, DispenseAsWritten, PrescriptionOriginCode, IngredientCostSubmitted, DispensingFeeSubmitted, IncentiveAmountSubmitted, FlatSalesTaxAmountSubmitted, PercentageSalesTaxAmountSubmitted, ProfessionalServiceFeeSubmitted, OtherAmountClaimedSubmittedQualifier1, OtherAmountClaimedSubmitted1, OtherAmountClaimedSubmittedQualifier2, OtherAmountClaimedSubmitted2, OtherAmountClaimedSubmittedQualifier3, OtherAmountClaimedSubmitted3, UsualAndCustomaryCharge, GrossAmountDue, BasisOfCostDetermination, PatientPayAmount, IngredientCostPaid, DispensingFeePaid, FlatSalesTaxAmountPaid, PercentageSalesTaxAmountPaid, IncentiveAmountPaid, ProfessionalServiceFeePaid, OtherPayerAmountRecognized, TotalAmountPaid, BasisOfReimbursementDetermination, AmountAppliedToPeriodicDeductible, AmountAttributedToCoverageGap, AmountAttributedToProcessorFee, AmountAttributedToProductSelection, AmountAttributedToProductSelectionBrandDrug, AmountAttributedToProductSelectionBrandNonPreferredFormularySelection, AmountAttributedToProductSelectionNonPreferredFormularySelection, AmountAttributedToProviderNetworkSelection, AmountAttributedToSalesTax, AmountExceedingPeriodicBenefitMaximum, AmountOfCopay, AmountOfCoinsurance, PrescriberIdQualifier, PrescriberId, PrescriberKey, LICSLevel, LowIncomeSubsidyAmount, COBOrder, PBMClaimNumber, AdjustmentIndicatorID, ClaimRoot, PartDPolicyType, DateAdjudicated, DatePaid, CheckDate, CheckNumber, LegalEntityKey, ClientKey, PriorAuthorizationNumberSubmitted, ProductServiceIDQualifier, ProductServiceID, PartDPlanBenefitPackage, PartDContractNumber, AdjustmentCounter, AdjustmentSequence, OtherCoverageCode, OtherAmountPaid1, OtherAmountPaidQualifier1, OtherAmountPaid2, OtherAmountPaidQualifier2, OtherAmountPaid3, OtherAmountPaidQualifier3, CompoundDosageFromDescriptionCode, CompoundDispensingUnitFormIndicator, DrugCoverageStatusCode, PharmacyClientCode, Carrier, Account, PatientResidenceCode, ClaimSource, RecordIdentifier, ClaimSequenceNumber, ClaimStatus, LineOfBusiness, BrandTradeName, BrandGenericCode, PreviousClaimNumber, ClaimType, PhyServiceID, AdjustmentReasonCode, ClaimTransactionType, AdjustmentType, ReversalIndicator, ClaimOriginationFlag, OtherPaidAmountColumn, OtherPaidAmountColumn2, ClientID, PrescribedQty, cUnique, cUniqueMax, cUniqueOrder, cSuppress, isDuplicate, origLineKeyID, origTapeID, isAdjusted, isReversal, isAdjustment, adjLineKeyID, adjTapeID, cTapeID, cClaimRoot, cClaimAdjustment, cClaimPreviousInstance, cClaimSequence, cRawlingsICDVersion, cEligibility, cSubscriber, cDateOfService, cEligibilityOrder, cEligibilityOrder_LineKeyID, cEligibilityOrder_TapeID, cEligibilityDemo, cEligibilityDemo_LineKeyID, cEligibilityDemo_TapeID, cSubscriberOrder, cSubscriberOrder_LineKeyID, cSubscriberOrder_TapeID, cSubscriberDemo, cSubscriberDemo_LineKeyID, cSubscriberDemo_TapeID, cPersonUnitID, cPersonUnitKey, dPatientKey, dSubscriberKey, dGroupKey, dClaimKey, PDE_CLAIM_CONTROL_NO",152
Audits,CignaHospiceAudit03062026_PeopleDetails,"DRUG_NDC, DATE_OF_SERVICE, BENEFICIARY_BIRTH_DATE, PDE_CARDHOLDER_ID, AuditTotalPaidAmount, Pharmacy_NPI, PDE_CLAIM_CONTROL_NO, PDE_PATIENT_PAID_AMT",8
Audits,CignaHospiceAudit03062026_PeopleKeys,PatientKey,1
Audits,CignaHospiceAudit04082026,"Proper_Improper_Determination, Proper_Improper_Rationale, Audit_Record_Number, DATE_OF_SERVICE, DATE_EFFECTIVE, DATE_IDR_PROCESSED, CLM_ADJST_TYPE_CD, PDE_CLAIM_CONTROL_NO, Unnamed:_8, PDE_CLAIM_UNIQUE_ID, PDE_CLAIM_TYPE_CODE, PDE_CPP_AMT, PDE_NCPP_AMT, PDE_PATIENT_PAID_AMT, PDE_LICS_AMT, PDE_OTHER_TROOP_AMT, PDE_PLRO_AMT, Total_Paid_Amt, PDE_DISPENSING_FEE, PDE_INGREDIENT_COST, PDE_SALES_TAX, Total_Cost, PDE_GDCB_AMT, PDE_GDCA_AMT, PDE_GAP_DISCOUNT_AMT, PDE_VACCINE_ADMIN_FEE, PDE_REBATE_AT_POS, PDE_Package_Size_UoM, PDE_COMPOUND, PDE_PLAN_CHANGE_REASON, PDE_PRESCRIPTION_ORIGIN, PDE_DRUG_COVERAGE_STATUS, PDE_PRICING_EXCEPTION, PDE_CATASTROPHIC_COVERAGE, PDE_PDE_CNT, DRUG_NDC, NDC_PROD_NAME, MULTI_SOURCE, DEA_CLASS_MDDB, DEA_CLASS_FDB, DRUG_BRAND_GENERIC, DRUG_FORMULARY_ID, DRUG_FORMULARY_CODE, GPI, PDE_DAW, PDE_DAYS_SUPPLY, PDE_QUANTITY_DISPENSED, PDE_FILL_NO, PDE_RX_SERVICE_REF_NO, Drug_Subclass, Drug_Subclass_Name, GPPC, Generic_Name, PROD_DESCRIP_ABBRV, PDE_DISPENSING_STATUS, ORIGINAL_CONTRACT_NUMBER, ORIGINAL_PBP_NUMBER, SC_CONTRACT_NUMBER, SC_PBP_NUMBER, Current_Contract_Number, Current_Contract_Name, Contract_Status, Parent_Organization, PDE_NON_STD_FORMAT_CODE, PDE_CARDHOLDER_ID, PDE_HICN, BENE_SK, Beneficiary_Name, Beneficiary_Address, Beneficiary_City, BENEFICIARY_STATE, BENEFICIARY_ZIP_CODE, BENEFICIARY_BIRTH_DATE, BENEFICIARY_DEATH_DATE, BENEFICIARY_SEX, BENEFICIARY_MBI_ID, Audit_Record_Number_1, PATIENT_RESIDENCE_CODE, PHARMACY_ORIGINAL_ID, PHARMACY_QUALIFIER_CODE, Pharmacy_NPI, Pharmacy_DEA, Pharmacy_NCPDP, Pharmacy_Prim_Taxonomy, Pharmacy_Prim_Taxonomy_Descr, Primary_Dispenser_Type_Code, Primary_Dispenser_Type_Descr, Primary_Dispenser_Cls_Code, Primary_Dispenser_Cls_Descr, NCPDP_Pharmacy_Name, NCPDP_DBA_Name, Pharmacy_Address, Pharmacy_City, Pharmacy_State, Pharmacy_Zip_Code, PRESCRIBER_ORIGINAL_ID, Prescriber_NPI, Prescriber_Prim_Taxonomy, Prescriber_Prim_Taxonomy_Descr, Prescriber_Company_Name, Prescriber_Address, Prescriber_City, Prescriber_State, Prescriber_Zip_Code, Claimroot, TRC_INVESTIGATION_ID, Type, Conclusion, Claim, Status, Analyst, Provider, ResponsibleParty, Disposition, OriginalEffectiveDate, TerminationDate",116
CenteneRetro,AddBlockingFields,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim, AlternateId1, AlternateId2, MemberID, TrcMemberID",31
CenteneRetro,CCPMEMBH20250928_full,"Member_Nbr, MemberID_01, LastName, FirstName, MiddleName, Sex, BirthDate, MemberID_02, Filler01, Address_1, City, State, Zip, EffectiveDate, TerminationDate, Filler02, Emplstat, DivisionNbr, BusinessUnit, LR_Response, Alternate_Subscriber_Id, Relationship_Code, Relationship_Description, Medicare_Indicator, Risk_Type, Risk_Type_Description, Subscriber_Member_Id, Group_Id, Bus_Line, RMC_Code, Member_Home_Phone_Area_Code, Member_Home_Phone_Number, Member_Work_Phone_Area_Code, Member_Work_Phone_Number, Member_Address2, Date_Of_Death, Project_Code, PMG_ID, Medicare_Member_Identification_Number, Email_Address, Medicare_Beneficiary_Identifier, MemberClassCode, Filler_Maybe",43
CenteneRetro,CenteneEligLoadLog,"ID, LoadStart, FileName, RecordCount, CompletionDateTime",5
CenteneRetro,CenteneRxRetroTermValidationFile,"MemberKey, SubscriberKey, TrcMemberID, MemberID, FirstName, LastName, MemberDOB, AlternateId1, AlternateId2, PlanName, PlanState, SSN, LOB, TerminationDate, FirstClaim, LastClaim, Dollars, DaysToClaim, MatchDate, Term Date Correct, Client System Term Date, New Start Date, New Term Date, New Sub ID, Pursue Yes/No",25
CenteneRetro,CenteneRxRetroTermValidationFile_SAMPLE,"MemberKey, SubscriberKey, TrcMemberID, MemberID, FirstName, LastName, MemberDOB, AlternateId1, AlternateId2, PlanName, PlanState, SSN, LOB, TerminationDate, FirstClaim, LastClaim, Dollars, DaysToClaim, MatchDate, Term Date Correct, Client System Term Date, New Start Date, New Term Date, New Sub ID, Pursue Yes/No",25
CenteneRetro,ClaimSoundexMemberKeys,"SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, DateFilled, ClaimTapeId, ClaimLineKeyId",6
CenteneRetro,ClaimSoundexMemberKeys_Research,"SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, DateFilled, ClaimTapeId, ClaimLineKeyId",6
CenteneRetro,ClaimTapeLine,"ClaimTapeId, ClaimLineKeyID, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3",5
CenteneRetro,Claims,"Id, PatientKey, ClaimSubscriberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, ClaimRoot, ClaimKey, TotalAmountPaid, DateFilled, OtherCoverageCode, Pharmacy_NPI, Pharmacy_NCPDPID, Quantity, DaysSupply, DateAdjudicated, AdjustmentSequence, Carrier, PartDContractNumber, GenLOBCode, ClientKey",21
CenteneRetro,ClaimsWithNearestEligibility,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim",27
CenteneRetro,ClaimsWithNearestEligibility_Backup,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim",27
CenteneRetro,Claims_backup,"Id, PatientKey, ClaimSubscriberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, ClaimRoot, ClaimKey, TotalAmountPaid, DateFilled, OtherCoverageCode, Pharmacy_NPI, Pharmacy_NCPDPID, Quantity, DaysSupply, DateAdjudicated, AdjustmentSequence, Carrier, PartDContractNumber, GenLOBCode, ClientKey",21
CenteneRetro,FullEligForMining,"FileName, LineKeyID, Member_Nbr, MemberID_01, MemberID_02, Alternate_Subscriber_Id, Medicare_Member_Identification_Number, MemberKey1, MemberKey2, MemberKey3, SubscriberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, LastName, FirstName, SoundexLastName, SoundexFirstName, BirthDate, SSN, Relationship_Code, State, Zip, EffectiveDate, TerminationDate, DivisionNbr",26
CenteneRetro,FullEligMemberKeys,"MemberKey, SoundexMemberKey, FileName, LineKeyID, EffectiveDate, TerminationDate, SubscriberKey, SSN, MemberID, FirstName, LastName, BirthDate, DivisionNbr",13
CenteneRetro,HNT_XAMEMMD20250905_full,"Member_Nbr, MemberID_01, LastName, FirstName, MiddleName, Sex, BirthDate, MemberID_02, Filler01, Address_1, City, State, Zip, EffectiveDate, TerminationDate, Filler02, Emplstat, DivisionNbr, BusinessUnit, LR_Response, Alternate_Subscriber_Id, Relationship_Code, Relationship_Description, Medicare_Indicator, Risk_Type, Risk_Type_Description, Subscriber_Member_Id, Group_Id, Bus_Line, RMC_Code, Member_Home_Phone_Area_Code, Member_Home_Phone_Number, Member_Work_Phone_Area_Code, Member_Work_Phone_Number, Member_Address2, Date_Of_Death, Project_Code, PMG_ID, Medicare_Member_Identification_Number, Email_Address, Medicare_Beneficiary_Identifier, MemberClassCode, Filler_Maybe",43
CenteneRetro,HNT_XBMEMMD20250905_full,"Member_Nbr, MemberID_01, LastName, FirstName, MiddleName, Sex, BirthDate, MemberID_02, Filler01, Address_1, City, State, Zip, EffectiveDate, TerminationDate, Filler02, Emplstat, DivisionNbr, BusinessUnit, LR_Response, Alternate_Subscriber_Id, Relationship_Code, Relationship_Description, Medicare_Indicator, Risk_Type, Risk_Type_Description, Subscriber_Member_Id, Group_Id, Bus_Line, RMC_Code, Member_Home_Phone_Area_Code, Member_Home_Phone_Number, Member_Work_Phone_Area_Code, Member_Work_Phone_Number, Member_Address2, Date_Of_Death, Project_Code, PMG_ID, Medicare_Member_Identification_Number, Email_Address, Medicare_Beneficiary_Identifier, MemberClassCode, Filler_Maybe",43
CenteneRetro,OrphanedClaimsNoEligibility,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim, AlternateId1, AlternateId2, MemberID, TrcMemberID",31
CenteneRetro,OrphanedMemberKeys,"MatchValue, MatchPriority, MatchKey, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3",7
CenteneRetro,OrphanedMembers,"MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3",4
CenteneRetro,OrphanedMembersWithElig,"MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, MatchKey, LineKeyID, TapeID, FirstName, LastName, BirthDate, EffectiveDate, TerminationDate",12
CenteneRetro,OrphanedMembersWithElig_Ranked,"MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, MatchKey, TapeID, LineKeyID, EffectiveDate, TerminationDate, FirstName, LastName, BirthDate, ElgRank",13
CenteneRetro,OrphansNonGap,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim, AlternateId1, AlternateId2, MemberID, TrcMemberID",31
CenteneRetro,PrepLineKeyAndTapeIds,"TapeID, LineKeyID",2
CenteneRetro,TFS964983_2_CenteneRxRetroTermValidationFile,"MemberKey, SubscriberKey, TrcMemberID, MemberID, FirstName, LastName, MemberDOB, AlternateId1, AlternateId2, PlanName, PlanState, SSN, LOB, TerminationDate, FirstClaim, LastClaim, Dollars, DaysToClaim, MatchDate, Term Date Correct, Client System Term Date, New Start Date, New Term Date, New Sub ID, Pursue Yes/No",25
CenteneRetro,TFS964983_AddBlockingFields,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim, AlternateId1, AlternateId2, TrcMemberID",30
CenteneRetro,TFS964983_ClaimSoundexMemberKeys,"SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, DateFilled, ClaimTapeId, ClaimLineKeyId",6
CenteneRetro,TFS964983_ClaimTapeLine,"ClaimTapeId, ClaimLineKeyID, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3",5
CenteneRetro,TFS964983_Claims,"Id, PatientKey, ClaimSubscriberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, ClaimRoot, ClaimKey, TotalAmountPaid, DateFilled, OtherCoverageCode, Pharmacy_NPI, Pharmacy_NCPDPID, Quantity, DaysSupply, DateAdjudicated, AdjustmentSequence, Carrier, PartDContractNumber, GenLOBCode, ClientKey",21
CenteneRetro,TFS964983_ClaimsWithNearestEligibility,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim",27
CenteneRetro,TFS964983_ClaimsWithNearestEligibility_Backup,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim",27
CenteneRetro,TFS964983_Claims_backup,"Id, PatientKey, ClaimSubscriberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, ClaimRoot, ClaimKey, TotalAmountPaid, DateFilled, OtherCoverageCode, Pharmacy_NPI, Pharmacy_NCPDPID, Quantity, DaysSupply, DateAdjudicated, AdjustmentSequence, Carrier, PartDContractNumber, GenLOBCode, ClientKey",21
CenteneRetro,TFS964983_FullEligMemberKeys,"MemberKey, SoundexMemberKey, FileName, LineKeyID, EffectiveDate, TerminationDate, SubscriberKey, SSN, MemberID, MemberID_01, FirstName, LastName, BirthDate, DivisionNbr",14
CenteneRetro,TFS964983_OrphanedClaimsNoEligibility,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim, AlternateId1, AlternateId2, TrcMemberID",30
CenteneRetro,TFS964983_OrphansNonGap,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim, AlternateId1, AlternateId2, TrcMemberID",30
CenteneRetro,Testing_AddBlockingFields,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim, AlternateId1, AlternateId2, MemberID, TrcMemberID",31
CenteneRetro,Testing_CenteneRxRetroTermValidationFile_SAMPLE,"MemberKey, SubscriberKey, TrcMemberID, MemberID, FirstName, LastName, MemberDOB, AlternateId1, AlternateId2, PlanName, PlanState, SSN, LOB, TerminationDate, FirstClaim, LastClaim, Dollars, DaysToClaim, MatchDate, Term Date Correct, Client System Term Date, New Start Date, New Term Date, New Sub ID, Pursue Yes/No",25
